Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Pride Hotel & Convention Centre Indore,4.1,Indore,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3273
"The Legend Inn, Nagpur",4,Nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,3276
THE ROYAL ORCHID HOTEL | Hotels in Kanpur,4.1,Kanpur,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,0,3280
Cherai Beach Resorts,3.9,Kochi,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Beach access,3281
Hotel Vennington Court,4,Raipur,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,3297
Hotel Vennington Court,4,Raipur,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,3297
Hotel Manorama,4,Vijayawada,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,3299
Best Western Bliss,4.1,Kanpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3300
Best Western Bliss,4.1,Kanpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3300
The Downton Hotel,4,Raipur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,Airport shuttle,3301
Her View I Luxe Room & Kitchen,3.2,Pondicherry,Sleeps 12,4 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No beach access,No crib,3306
FabHotel Prime Blue Moon,4.2,Gandhinagar,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,3312
The Oakwood,4,Pune,4-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,3333
SKY MANSION,4.3,Faridabad,Free Wi-Fi,0,0,0,0,0,0,0,0,3344
Hotel The Emporio A Corporate Suites,4.9,Noida,0,0,0,0,0,0,0,0,0,3347
Enrise By Sayaji,4.2,Aurangabad,3-star hotel,Free breakfast,Free Wi-Fi,Pool,Restaurant,Room service,Kitchen,Airport shuttle,Full-service laundry,3348
Ahuja Residency Noida,4.3,Noida,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,3351
Canary Inn,3.9,Hazaribagh,0,0,0,0,0,0,0,0,0,3357
Ginger Guwahati,3.8,Guwahati,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,3358
The Stories,4,Ludhiana,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,Accessible,3359
"Udaan Hotels | Alpine Resort, Gangtok",4.6,Sikkim,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,3360
"Regenta Central RS, Chennai(OMR). 4 Star Hotel",4.2,Chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,3366
The Prime Park,4.3,Amravati,0,0,0,0,0,0,0,0,0,3394
Comfort Inn,4.1,Lucknow,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3394
Hotel Excellency (A Unit of Excellency Resorts Pvt. Ltd.),4.1,Bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3395
Hotel The Embassy,4.1,Nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,3395
Hotel Le Royal Park,4.1,Pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3415
Best Western Plus Indore,4.2,Indore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3424
"Deccan Serai Hotel, HITEC CITY, HYDERABAD",4.2,Hyderabad,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3436
Ibis Coimbatore City Centre,4.4,Coimbatore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Room service,3437
Hotel Cherrapunji,4.7,Cherrapunji,Breakfast included,Air conditioning,Spa,Pet-friendly,Accessible,Breakfast included,Room service,Accessible,Restaurant,3454
Ibis Coimbatore City Centre,4.4,Coimbatore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Fitness center,Restaurant,Room service,3472
Canary Inn,3.9,Hazaribagh,0,0,0,0,0,0,0,0,0,3483
Hotel Ravisha Continental,4,Allahabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,3486
Meenakshi River Villa | Rooms & Wi-Fi,4.5,Kumarakom,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,3488
"Enrise by Sayaji - Nashik, Best Banquet Hotel",4.2,Nashik,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,3489
The Coral - Kanyakumari,4.4,Kanyakumari,0,0,0,0,0,0,0,0,0,3495
Hotel Park Inn,4.1,Chandigarh,3-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,3506
Hotel Samrat Inn,3.6,Hazaribagh,Free Wi-Fi,Paid parking,Air conditioning,Kitchen,Full-service laundry,Kid-friendly,0,0,0,3515
Ginger Nashik,3.8,Nashik,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Kitchen,Full-service laundry,Kid-friendly,3518
Hotel Oyster,4,Chandigarh,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Spa,Bar,Restaurant,3528
ILLIKKALAM Lakeside Cottages,4.1,Kumarakom,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3549
Heaven Beach ,4,Alleppey,4-star hotel,Free breakfast,Free Wi-Fi,0,Pool,Hot tub,Airport shuttle,Full-service laundry,Spa,3549
"The Sonnet, Jamshedpur",4.3,Jamshedpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3554
Hotel Four Element,4.4,Varanasi,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Room service,Full-service laundry,Accessible,0,3566
Hotel Four Element,4.4,Varanasi,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Room service,Full-service laundry,Accessible,0,3566
The Landmark Amritsar : Near Golden Temple,4.3,Amritsar,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Business center,3581
Radisson Noida,4.3,Noida,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3584
Maniratna Resort,4,Amravati,0,0,0,0,0,0,0,0,0,3588
Hotel Dynasty,4.1,Guwahati,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Spa,Bar,Restaurant,3604
Hotel Meridien,4,Srinagar,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,3632
Infocity Club And Resort,4.2,Gandhinagar,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Kitchen,Accessible,3640
Citadel Hotels & Conventions By Vinnca,4.4,Hyderabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,3640
Empires Hotel Bhubaneswar,4.1,Bhubaneswar,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,3646
Umino Beach Resort Banquet Hall and Restaurant,4.3,Chennai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,3677
Little Chef Hotel,4.3,Kanpur,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3679
Little Chef Hotel,4.3,Kanpur,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3679
The victory (A Boutique Hotel),4,Srinagar,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,3686
Hotel Mount Abu,3.4,Mount abu,Spa,Free Wi-Fi,Pet-friendly,Pool,Parking,Airport shuttle,Accessible,Full-service laundry,Free Wi-Fi,3693
Fairfield by Marriott Chennai OMR,4.2,Chennai,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3707
"The Central Park Hotel, Pune",4.1,Pune,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,3708
Perfect Room in Perfect Bungalow,3.6,Gandhinagar,Sleeps 16,4 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,3710
Barsana Boutique Hotel,4.3,Kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,3719
Hotel Bay Laurel Retreat,4.3,Faridabad,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0,0,3724
ILLIKKALAM Lakeside Cottages,4.1,Kumarakom,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3724
Hotel Annamalai International,4,Pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3724
Clarion Hotel Dehradun,4.4,Dehradun,0,0,0,0,0,0,0,0,0,3728
Hotel Coorg,3.4,Coorg,Spa,Room service,Accessible,Restaurant,Air conditioning,Airport shuttle,Air conditioning,Airport shuttle,Pool,3731
MVR Grand Hotel,4.4,Kanpur,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,3744
Lotus The Cottages,4.2,Coorg,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,3756
Grand Mercure Vadodara Surya Palace,4.4,Vadodara,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,3770
Mango Tree Courtyard | Heritage Rooms with Wi-Fi,4.5,Dehradun,Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,3775
Walisons Hotel,4.2,Srinagar,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,3780
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,Bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3782
Golden Parkk Hotel,4,Kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Spa,Bar,Restaurant,Room service,3790
Hotel Kaziranga National Park,4.9,kaziranga national park,Restaurant,Parking,Pool,Room service,Parking,Fitness center,Restaurant,Air conditioning,Pet-friendly,3790
Maroma Suites,4.5,Chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,3795
Turyaa Chennai,4.3,Chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3797
Hotel Daltin,4.3,Digha,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,3800
Pride Hotel & Convention Centre Indore,4.1,Indore,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3807
Ananya Eco Resorts,3.9,Hyderabad,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kid-friendly,0,0,0,3808
Napier Heritage Fort Kochi,4.5,Kochi,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,3808
Hotel TRIDEV,4,Varanasi,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Fitness center,Restaurant,Room service,Airport shuttle,3808
Hotel Krishna Sagar,4,Ghaziabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,3819
Goldfinch Hotel Delhi NCR,3.9,Faridabad,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3829
Regenta Central Hotel & Convention Centre,4,Nagpur,4-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3830
Nebo hotel,4.2,Varkala,Free Wi-Fi,Paid parking,Pool,Beach access,Kitchen,Full-service laundry,0,0,0,3830
Hotel JSR Continental,3.9,Dehradun,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,3843
La Maison Pondichéry - Heritage Guesthouse,4.4,Pondicherry,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Beach access,Restaurant,Room service,Airport shuttle,Full-service laundry,3846
Avenue 11 Boutique Residences | Rooms & Caretaker,4,Chennai,Sleeps 8,3 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,3853
"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",4.1,Chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3859
Attide Boutique Hotel,4.2,Bangalore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3863
"Hotel MBC Citadel Nashik ( Near Sula, Trimbakeshwar and MIDC Area )",4.2,Nashik,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,3870
Courtyard Agra,4,Agra,3-star hotel,Free breakfast,Wi-Fi,Free parking,0,0,0,0,Kid-friendly,3870
The Grand Mehfil,3.9,Amravati,0,0,0,0,0,0,0,0,0,3880
"The Manor House, Kolkata",4.4,Kolkata,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,3880
Vibe By The LaLiT Traveller,4,Faridabad,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3890
The Regnant,4.2,Lucknow,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,3892
Four Points by Sheraton Vadodara,4.2,Vadodara,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3919
"Lemon Tree Premier, Jaipur",4.3,Jaipur,4-star hotel,Breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3920
Hotel Himalayan Resort,4.1,Kashmir,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pet-friendly,Bar,Restaurant,Room service,Kitchen,3920
Hotel Himalayan Resort,4.1,Srinagar,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pet-friendly,Bar,Restaurant,Room service,Kitchen,3920
Courtyard by Marriott Vadodara,4.5,Vadodara,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,3920
Four Points by Sheraton Vadodara,4.2,Vadodara,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3920
The Pamposh,3.7,Delhi,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Full-service laundry,Business center,Kid-friendly,0,3931
Park Prime Ranchi,4,Ranchi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,3931
Hotel Royal Heritage,4.2,Srinagar,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,3935
Hotel Radiance Courtyard,4.4,Varanasi,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,3941
Clarks Inn Express Ludhiana,4.7,Ludhiana,Free Wi-Fi,Paid parking,Pool,Room service,Kitchen,Full-service laundry,0,0,0,3948
The Elanza Hotel,4.1,Bangalore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3968
"Babylon International, Raipur",4.1,Raipur,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,3977
SeaShell,4.5,Andaman,4-star hotel,Free breakfast,Wi-Fi,Kitchen,Pool,Air conditioning,Full-service laundry,Spa,Kid-friendly,4000
Maharaja Ganga mahal,4.3,Bikaner,4-star hotel,Free breakfast,Free Wifi,Kitchen,0,0,Spa,Airport shuttle,Kid-friendly,4000
Kukda Resort,4.3,Chittorgarh,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Heating,4000
HOTEL AMALFI GRAND,4.1,Patna,4-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,4004
"Holiday Inn Express Ahmedabad Prahlad Nagar, an IHG Hotel",4.4,Ahmedabad,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Accessible,4007
Kadackal Farmhouse | Rooms & Pool,4.2,Bangalore,Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,No crib,No elevator,No fitness center,4012
Hotel Grand Rio,4.5,Nashik,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Airport shuttle,4016
The Ornate,4.2,Guwahati,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,4017
The Grand Mehfil,4.3,Amravati,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,4021
Sarovar Portico Surajkund,3.9,Faridabad,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Spa,Restaurant,Room service,Airport shuttle,4021
Caves County,4.1,Nashik,Free breakfast,Free Wi-Fi,Free parking,Restaurant,Room service,Full-service laundry,0,0,0,4021
Green Palms Hotel,4.1,Ghaziabad,Free breakfast,Free Wi-Fi,Paid parking,Pool,Bar,Restaurant,Room service,Kitchen,Full-service laundry,4023
"Ginger Mumbai, Goregaon",4,Mumbai,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0,4031
"Hotel Singhania Sarovar Portico,Raipur",4.1,Raipur,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4032
Status Club & Resort,4.3,Kanpur,3-star hotel,Air conditioning,Kid-friendly,0,0,0,0,0,0,4040
Hotel AK International,3.6,Hazaribagh,0,0,0,0,0,0,0,0,0,4060
"The Fern Residency, Chandigarh",4,Chandigarh,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,4077
Effotel by Sayaji,4.3,Indore,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,4090
Hotel Amarnath,4.7,Amarnath,Free Wi-Fi,Free Wi-Fi,Pool,Breakfast included,Pet-friendly,Fitness center,Air conditioning,Accessible,Spa,4099
Hotel Bikaner,3,Bikaner,Full-service laundry,Spa,Free Wi-Fi,Pool,Restaurant,Pet-friendly,Room service,Free Wi-Fi,Pool,4104
THE OCEAN PEARL INN,4.3,Mangalore,Free breakfast,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,0,4106
Rks Beachfront,4.8,Mangalore,Free Wi-Fi,Free parking,Pool,Beach access,Bar,Restaurant,Room service,Kitchen,Full-service laundry,4116
Regenta Central Amritsar,4.2,Amritsar,5-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Spa,Bar,Restaurant,4117
The Bull Boutique Hotel,4.3,Pondicherry,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,4129
The Royal Retreat,4.2,Ranchi,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,4140
Hotel Mathura,4,Mathura,Pool,Free Wi-Fi,Pet-friendly,Free Wi-Fi,Spa,Accessible,Pool,Room service,Restaurant,4157
Radisson Lucknow City Center,4.3,Lucknow,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,4189
Agonda Paradise Beach Huts,4.2,Goa,Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No beach access,No crib,4200
Gagal Home BKC Suite | Rooms & Caretaker,3.7,Mumbai,Sleeps 4,2 bedrooms,Air conditioning,Elevator,Fireplace,Kitchen,Paid parking,Free Wi-Fi,No crib,4208
Hotel Hira Inn,4.8,Allahabad,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Full-service laundry,0,0,4212
"Hotel Surya, Kaiser Palace",4.2,Varanasi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Spa,Bar,4212
"Hotel Surya, Kaiser Palace",4.2,Varanasi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Spa,Bar,4214
Jamal Resorts,4,Kashmir,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,4215
Jamal Resorts,4,Srinagar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,4215
Ilara Hotels & Spa,4.6,Chennai,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service,4234
Grand Mercure Vadodara Surya Palace,4.4,Vadodara,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,4237
Moon And Mars Resort,4.3,Kanpur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4242
Hotel Madurai,4.8,Madurai,Spa,Pool,Restaurant,Breakfast included,Fitness center,Air conditioning,Air conditioning,Air conditioning,Pool,4242
Regenta Central Noida,3.8,Noida,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Spa,Restaurant,Room service,Airport shuttle,4255
The Royal Retreat,4.2,Ranchi,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,4255
Hotel Prominent Corporate Residency,4.3,Gandhinagar,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,4256
Treebo Trend Goodland Residency,4.1,Trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,4265
VGP Golden Beach Resort,3.9,Chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Beach access,4267
Hotel Sri Vinayak,3.8,Hazaribagh,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,Full-service laundry,4272
IKON by Annapoorna,4.5,Coimbatore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,4278
Clarks Inn Suites Gwalior,4.4,Gwalior,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,4280
Cambay Sapphire Gandhinagar,3.4,Gandhinagar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,4284
Manavi Home Stay,4.8,Mathura,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,4300
Hotel Ujjain,3.1,Ujjain,Airport shuttle,Restaurant,Room service,Fitness center,Spa,Room service,Pet-friendly,Spa,Accessible,4304
Grand Continental Hotel,4.1,Allahabad,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4309
Dera Haveli Heritage Homestay,4.3,Gwalior,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,4312
Hotel Pushkar Legacy,4.2,Pushkar,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Heating,4320
Regenta Place Amritsar,4.2,Amritsar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4321
Sterling Wayanad,4.4,Wayanad,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Air conditioning,4321
"Ambassador Ajanta Hotel, Aurangabad",4.2,Aurangabad,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4322
The Palm Court,4.3,Ludhiana,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,4326
BloomSuites | Ahmedabad,4.2,Ahmedabad,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4333
Windsor Rajadhani,4.1,Trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4341
Ellaa Hotel,4.8,Hyderabad,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4349
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,Bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4367
"Hotel Kanha Shyam, Prayagraj",4.1,Allahabad,4-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Spa,Bar,Restaurant,4375
St Laurn Hotel,3.9,Pune,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,4381
